curso;disciplina;grau_exig;modalidade;media_notas_ant;num_disc_evadidas;mensal_atraso;sexo;idade;dist;sem;tamanho_turma;sit
Administração;Gestão de Projetos;1;1;9,0;0;1;M;28;1;6;30;0
Gestão da Produção;Métodos Estatísticos;3;1;9,0;0;1;F;26;1;6;41;0
Administração;Cálculo A;3;1;9,0;0;0;M;18;1;7;42;
Administração;Estratégias de marketing;1;2;9,0;0;0;M;26;1;7;40;
Engenharia de Produção;Cálculo A;3;1;9.2;0;0;M;20;3;1;24;0
Administração;Matemática financeira;2;1;9.2;0;0;M;26;1;2;35;0
Engenharia de Produção;Métodos Estatísticos;3;1;9.2;0;0;F;26;2;2;41;0
Administração;Planejamento contábil;2;1;9.2;0;0;F;25;2;2;33;0
Administração;Cálculo A;3;1;9.2;1;0;M;27;1;3;30;1
Administração;Comportamento do consumidor;1;1;9.2;0;1;M;21;3;3;40;0
Administração;Estratégias de marketing;1;1;9.2;1;0;M;24;2;3;24;0
Administração;Métodos Estatísticos;3;1;9.2;0;3;M;24;2;3;35;1
Administração;Métodos Estatísticos;3;1;9.2;0;0;F;25;1;3;25;0
Administração;Gestão de Projetos;1;1;9.2;0;1;M;25;3;5;25;0
Gestão da Produção;Métodos Estatísticos;3;1;9.2;0;2;F;22;2;5;33;0
Gestão da Produção;Gestão de Projetos;1;2;9.2;0;0;M;26;1;6;30;0
Administração;Planejamento contábil;2;1;9.2;0;1;F;35;1;6;30;0
Administração;Cálculo A;3;1;9.2;0;0;M;33;3;7;20;
Gestão da Produção;Métodos Estatísticos;3;1;9.2;0;1;M;30;1;7;40;
Administração;Cálculo A;3;1;9.3;0;2;F;21;1;1;29;1
Administração;Comportamento do consumidor;1;1;9.3;0;0;M;24;1;1;43;0
Engenharia de Produção;Métodos Estatísticos;3;1;9.3;0;0;F;22;1;1;33;0
Administração;Planejamento contábil;2;1;9.3;0;2;M;22;2;2;43;0
Administração;Estratégias de marketing;1;1;9.3;0;1;M;23;1;3;33;0
Gestão da Produção;Gestão de Projetos;1;2;9.3;0;0;F;19;1;3;24;0
Gestão da Produção;Métodos Estatísticos;3;1;9.3;0;0;M;19;1;4;35;0
Administração;Planejamento contábil;2;1;9.3;0;1;M;28;1;4;43;0
